sample	Helicobacter	Comamonas	Caenimonas	Dorea	Sutterella	Anaerovibrio	Odoribacter	Succinivibrio	Sphingomonas	Aeromonas	Lactobacillus	Blautia	Enhydrobacter	Oscillibacter	Exiguobacterium	Desulfovibrio	Parabacteroides	Fusobacterium	Dialister	Parasutterella	Rubrobacter	Actinomyces	Streptococcus	Eubacterium	Diaphorobacter	Coprococcus	Acidovorax	Bacteroides	Butyricicoccus	Staphylococcus	Rheinheimera	Asaccharobacter	Hydrogenophaga	Serratia	Zoogloea	Vibrio	Acinetobacter	Curtobacterium	Clavibacter	Novosphingobium	Veillonella	Subdoligranulum	Paraprevotella	Lactococcus	Phascolarctobacterium	Clostridium	Megamonas	Coprobacillus	Chryseobacterium	Barnesiella	GpI	Aquabacterium	Escherichia/Shigella	Haemophilus	Pseudomonas	Burkholderia	Collinsella	Microbacterium	Turicibacter	Rikenella	Pantoea	Alistipes	Delftia	Azonexus	Streptophyta	Roseburia	Stenotrophomonas	Weeksella	Arthrobacter	Bacillus	Asticcacaulis	Prevotella	Faecalibacterium	Pseudoalteromonas	Slackia	Acidaminococcus	Gp1	Sphingobium	Succinispira	Klebsiella	Brachyspira	Ralstonia	Uruburuella	Ruminococcus	Eggerthella	Citrobacter	Rhizobium	Afipia	Enterococcus	Marinomonas	Anaerostipes	Propionibacterium
Tope_D5-686-525_2_1_380.fas	0	0	0	244	0	0	0	0	301	15	5	173	0	57	0	0	101	0	0	0	0	3	138	0	2	34	3	480	37	0	1	0	0	0	0	8	0	0	0	0	0	32	0	7	29	0	0	501	0	1	0	0	3	99	19	2	86	0	0	0	2	15	0	1	1	412	0	3	2	1	0	0	466	27	0	0	0	0	0	1	0	0	3	18	0	0	0	0	2	33	0	16
Tope_D5-655-442_2_1_1500.fas	0	0	0	85	38	0	4	0	6	0	0	297	0	36	0	0	45	0	0	2	0	0	6	2	0	347	0	1089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	29	0	0	5	0	0	0	0	3	0	0	0	56	0	0	0	0	23	0	0	0	486	0	0	1	0	0	0	128	1	0	18	0	0	0	0	0	0	4	22	1	0	0	0	0	1	0	0
Tope_D5-607-356_2_1_1355.fas	2	0	0	132	6	0	1	0	29	0	0	77	0	4	0	0	31	0	17	0	0	3	35	20	1	168	4	1724	5	2	0	1	0	0	0	0	0	0	0	0	4	36	0	2	16	7	282	196	0	0	0	1	91	0	0	0	105	0	0	0	0	0	1	0	2	1422	0	67	0	0	0	278	585	5	0	5	0	0	0	0	0	0	0	2	2	0	0	0	0	2	0	0
Tope_D5-635-911_1_1_332.fas	3	5	0	105	21	22	0	185	341	10	40	367	1	314	5	0	74	737	1	2	268	11	168	9	20	392	221	208	2	5	11	0	64	0	11	6	23	10	60	2	68	14	166	14	27	32	0	85	20	3	0	61	61	33	279	50	29	66	48	3	104	15	143	47	580	1416	110	718	9	143	3	327	134	11	0	0	13	5	3	35	0	0	9	33	28	0	94	8	0	8	0	36
Tope_D5-623-944_2_1_965.fas	0	0	0	220	51	0	11	0	16	1	0	292	0	3	0	0	0	47	3	0	0	1	1079	1	0	0	3	761	0	0	1	0	0	0	0	2	0	0	0	0	10	10	0	1	0	0	0	26	0	0	0	0	3	2	1	3	54	0	0	0	0	11	0	0	1	81	0	191	0	0	0	0	82	3	0	0	0	0	0	4	0	0	0	0	6	1	0	0	0	3	0	0
Tope_D5-649-142_2_1_943.fas	0	0	0	120	0	0	0	0	370	16	1	308	0	48	0	0	69	0	0	32	0	0	31	478	0	187	0	231	8	0	6	2	0	2	0	35	2	8	11	0	0	93	3	4	18	17	0	206	0	0	0	0	12	0	7	0	52	0	3	0	1	4	4	0	20	173	2	50	0	4	7	1	293	16	0	4	0	0	0	8	0	8	1	56	0	0	0	7	0	22	0	8
Tope_D5-621-913_2_1_899.fas	0	0	0	6	1	1	0	1	72	3	0	51	0	0	0	0	256	0	0	7	0	0	23	39	0	7	0	1123	0	0	5	0	0	0	0	14	0	0	0	0	0	0	0	1	1	0	0	106	0	0	0	0	20	38	4	14	0	0	0	0	0	2	0	0	3	198	1	1	1	0	0	1	90	28	0	0	2	0	0	86	0	1	6	0	0	0	0	2	0	22	0	0
Tope_D5-602-805_2_1_53.fas	1	0	0	98	43	0	1	0	85	4	15	42	0	53	5	0	33	0	0	0	0	1	21	4	0	17	4	602	1	3	6	0	0	0	0	7	0	10	56	0	15	2	0	11	1	2	21	10	2	0	0	0	30	14	87	6	20	5	0	0	1	16	55	0	144	146	51	53	21	6	0	38	143	17	0	0	0	0	0	2	0	0	2	28	3	0	19	0	0	19	0	5
Tope_D5-602-100_2_1_180.fas	0	0	0	142	117	0	10	0	43	8	2	280	0	37	0	0	38	0	0	0	0	6	47	0	0	85	0	126	4	0	1	6	0	0	0	2	0	0	0	0	21	22	0	0	0	1	2	116	0	6	0	0	31	1	0	2	92	0	0	0	1	10	0	0	3	506	0	0	0	0	0	144	180	11	0	8	0	0	0	1	0	0	1	191	0	2	0	1	0	14	0	1
Tope_D5-624-431_2_1_387.fas	0	0	0	206	0	0	0	0	280	27	0	2	0	4	0	0	89	0	0	6	3	1	77	1	0	41	0	1664	0	0	21	0	0	0	0	33	2	0	0	0	0	2	0	13	25	0	1	317	0	0	0	1	18	28	12	26	0	0	0	0	0	18	2	2	1	54	0	6	0	5	0	0	0	81	0	0	0	0	0	24	0	12	5	8	53	3	3	12	0	36	793	16
