sample	Helicobacter	Comamonas	Caenimonas	Dorea	Sutterella	Anaerovibrio	Odoribacter	Succinivibrio	Sphingomonas	Aeromonas	Lactobacillus	Blautia	Enhydrobacter	Oscillibacter	Exiguobacterium	Desulfovibrio	Parabacteroides	Fusobacterium	Dialister	Parasutterella	Rubrobacter	Actinomyces	Streptococcus	Eubacterium	Diaphorobacter	Coprococcus	Acidovorax	Bacteroides	Butyricicoccus	Staphylococcus	Rheinheimera	Asaccharobacter	Hydrogenophaga	Serratia	Zoogloea	Vibrio	Acinetobacter	Curtobacterium	Clavibacter	Novosphingobium	Veillonella	Subdoligranulum	Paraprevotella	Lactococcus	Phascolarctobacterium	Clostridium	Megamonas	Coprobacillus	Chryseobacterium	Barnesiella	GpI	Aquabacterium	Escherichia/Shigella	Haemophilus	Pseudomonas	Burkholderia	Collinsella	Microbacterium	Turicibacter	Rikenella	Pantoea	Alistipes	Delftia	Azonexus	Streptophyta	Roseburia	Stenotrophomonas	Weeksella	Arthrobacter	Bacillus	Asticcacaulis	Prevotella	Faecalibacterium	Pseudoalteromonas	Slackia	Acidaminococcus	Gp1	Sphingobium	Succinispira	Klebsiella	Brachyspira	Ralstonia	Uruburuella	Ruminococcus	Eggerthella	Citrobacter	Rhizobium	Afipia	Enterococcus	Marinomonas	Anaerostipes	Propionibacterium
D5-686-525_2_1_380control	0.0	0.0	0.0	0.07210401891252956	0.0	0.0	0.0	0.0	0.08894799054373523	0.004432624113475178	0.0014775413711583924	0.051122931442080376	0.0	0.016843971631205674	0.0	0.0	0.02984633569739953	0.0	0.0	0.0	0.0	8.865248226950354E-4	0.040780141843971635	0.0	5.91016548463357E-4	0.01004728132387707	8.865248226950354E-4	0.14184397163120568	0.010933806146572104	0.0	2.955082742316785E-4	0.0	0.0	0.0	0.0	0.002364066193853428	0.0	0.0	0.0	0.0	0.0	0.009456264775413711	0.0	0.0020685579196217494	0.008569739952718676	0.0	0.0	0.14804964539007093	0.0	2.955082742316785E-4	0.0	0.0	8.865248226950354E-4	0.02925531914893617	0.0056146572104018916	5.91016548463357E-4	0.02541371158392435	0.0	0.0	0.0	5.91016548463357E-4	0.004432624113475178	0.0	2.955082742316785E-4	2.955082742316785E-4	0.12174940898345153	0.0	8.865248226950354E-4	5.91016548463357E-4	2.955082742316785E-4	0.0	0.0	0.13770685579196218	0.007978723404255319	0.0	0.0	0.0	0.0	0.0	2.955082742316785E-4	0.0	0.0	8.865248226950354E-4	0.005319148936170213	0.0	0.0	0.0	0.0	5.91016548463357E-4	0.00975177304964539	0.0	0.004728132387706856
D5-655-442_2_1_1500case	0.0	0.0	0.0	0.03090909090909091	0.013818181818181818	0.0	0.0014545454545454545	0.0	0.002181818181818182	0.0	0.0	0.108	0.0	0.01309090909090909	0.0	0.0	0.016363636363636365	0.0	0.0	7.272727272727272E-4	0.0	0.0	0.002181818181818182	7.272727272727272E-4	0.0	0.12618181818181817	0.0	0.396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005454545454545455	0.0	0.010545454545454545	0.0	0.0	0.0018181818181818182	0.0	0.0	0.0	0.0	0.001090909090909091	0.0	0.0	0.0	0.020363636363636365	0.0	0.0	0.0	0.0	0.008363636363636363	0.0	0.0	0.0	0.17672727272727273	0.0	0.0	3.636363636363636E-4	0.0	0.0	0.0	0.04654545454545454	3.636363636363636E-4	0.0	0.006545454545454545	0.0	0.0	0.0	0.0	0.0	0.0	0.0014545454545454545	0.008	3.636363636363636E-4	0.0	0.0	0.0	0.0	3.636363636363636E-4	0.0	0.0
D5-607-356_2_1_1355case	3.722315280104225E-4	0.0	0.0	0.024567280848687884	0.0011166945840312675	0.0	1.8611576400521124E-4	0.0	0.005397357156151126	0.0	0.0	0.014330913828401265	0.0	7.44463056020845E-4	0.0	0.0	0.005769588684161549	0.0	0.003163967988088591	0.0	0.0	5.583472920156337E-4	0.0065140517401823935	0.003722315280104225	1.8611576400521124E-4	0.03126744835287549	7.44463056020845E-4	0.3208635771449842	9.305788200260562E-4	3.722315280104225E-4	0.0	1.8611576400521124E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.44463056020845E-4	0.006700167504187605	0.0	3.722315280104225E-4	0.00297785222408338	0.0013028103480364787	0.05248464544946957	0.0364786897450214	0.0	0.0	0.0	1.8611576400521124E-4	0.016936534524474224	0.0	0.0	0.0	0.01954215522054718	0.0	0.0	0.0	0.0	0.0	1.8611576400521124E-4	0.0	3.722315280104225E-4	0.2646566164154104	0.0	0.012469756188349152	0.0	0.0	0.0	0.05174018239344873	0.10887772194304858	9.305788200260562E-4	0.0	9.305788200260562E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.722315280104225E-4	3.722315280104225E-4	0.0	0.0	0.0	0.0	3.722315280104225E-4	0.0	0.0
D5-635-911_1_1_332case	3.4032898468519567E-4	5.672149744753262E-4	0.0	0.01191151446398185	0.00238230289279637	0.002495745887691435	0.0	0.02098695405558707	0.038684061259217244	0.0011344299489506524	0.0045377197958026095	0.04163357912648894	1.1344299489506523E-4	0.035621100397050486	5.672149744753262E-4	0.0	0.008394781622234827	0.08360748723766308	1.1344299489506523E-4	2.2688598979013047E-4	0.03040272263187748	0.0012478729438457174	0.01905842314237096	0.0010209869540555871	0.0022688598979013048	0.04446965399886557	0.025070901871809416	0.023596142938173567	2.2688598979013047E-4	5.672149744753262E-4	0.0012478729438457174	0.0	0.007260351673284175	0.0	0.0012478729438457174	6.806579693703913E-4	0.0026091888825865	0.0011344299489506524	0.006806579693703914	2.2688598979013047E-4	0.007714123652864436	0.0015882019285309132	0.01883153715258083	0.0015882019285309132	0.003062960862166761	0.0036301758366420874	0.0	0.009642654566080544	0.0022688598979013048	3.4032898468519567E-4	0.0	0.006920022688598979	0.006920022688598979	0.0037436188315371527	0.0316505955757232	0.005672149744753261	0.0032898468519568917	0.007487237663074305	0.005445263754963131	3.4032898468519567E-4	0.011798071469086784	0.0017016449234259785	0.016222348269994327	0.005331820760068066	0.06579693703913783	0.16063528077141237	0.012478729438457176	0.08145207033465683	0.0010209869540555871	0.016222348269994327	3.4032898468519567E-4	0.03709585933068633	0.01520136131593874	0.0012478729438457174	0.0	0.0	0.001474758933635848	5.672149744753262E-4	3.4032898468519567E-4	0.003970504821327283	0.0	0.0	0.0010209869540555871	0.0037436188315371527	0.0031764038570618264	0.0	0.010663641520136132	9.075439591605219E-4	0.0	9.075439591605219E-4	0.0	0.0040839478162223485
D5-623-944_2_1_965control	0.0	0.0	0.0	0.07370184254606366	0.017085427135678392	0.0	0.0036850921273031824	0.0	0.005360134003350084	3.3500837520938025E-4	0.0	0.09782244556113903	0.0	0.0010050251256281408	0.0	0.0	0.0	0.01574539363484087	0.0010050251256281408	0.0	0.0	3.3500837520938025E-4	0.3614740368509213	3.3500837520938025E-4	0.0	0.0	0.0010050251256281408	0.2549413735343384	0.0	0.0	3.3500837520938025E-4	0.0	0.0	0.0	0.0	6.700167504187605E-4	0.0	0.0	0.0	0.0	0.0033500837520938024	0.0033500837520938024	0.0	3.3500837520938025E-4	0.0	0.0	0.0	0.008710217755443886	0.0	0.0	0.0	0.0	0.0010050251256281408	6.700167504187605E-4	3.3500837520938025E-4	0.0010050251256281408	0.018090452261306532	0.0	0.0	0.0	0.0	0.0036850921273031824	0.0	0.0	3.3500837520938025E-4	0.027135678391959798	0.0	0.06398659966499162	0.0	0.0	0.0	0.0	0.02747068676716918	0.0010050251256281408	0.0	0.0	0.0	0.0	0.0	0.001340033500837521	0.0	0.0	0.0	0.0	0.0020100502512562816	3.3500837520938025E-4	0.0	0.0	0.0	0.0010050251256281408	0.0	0.0
D5-649-142_2_1_943control	0.0	0.0	0.0	0.039100684261974585	0.0	0.0	0.0	0.0	0.1205604431410883	0.005213424568263278	3.2583903551645487E-4	0.1003584229390681	0.0	0.015640273704789834	0.0	0.0	0.022482893450635387	0.0	0.0	0.010426849136526556	0.0	0.0	0.010101010101010102	0.15575105897686542	0.0	0.06093189964157706	0.0	0.07526881720430108	0.002606712284131639	0.0	0.0019550342130987292	6.516780710329097E-4	0.0	6.516780710329097E-4	0.0	0.011404366243075921	6.516780710329097E-4	0.002606712284131639	0.0035842293906810036	0.0	0.0	0.030303030303030304	9.775171065493646E-4	0.0013033561420658195	0.005865102639296188	0.005539263603779733	0.0	0.06712284131638971	0.0	0.0	0.0	0.0	0.0039100684261974585	0.0	0.002280873248615184	0.0	0.016943629846855653	0.0	9.775171065493646E-4	0.0	3.2583903551645487E-4	0.0013033561420658195	0.0013033561420658195	0.0	0.006516780710329097	0.056370153144346694	6.516780710329097E-4	0.016291951775822745	0.0	0.0013033561420658195	0.002280873248615184	3.2583903551645487E-4	0.09547083740632127	0.005213424568263278	0.0	0.0013033561420658195	0.0	0.0	0.0	0.002606712284131639	0.0	0.002606712284131639	3.2583903551645487E-4	0.018246985988921473	0.0	0.0	0.0	0.002280873248615184	0.0	0.007168458781362007	0.0	0.002606712284131639
D5-621-913_2_1_899control	0.0	0.0	0.0	0.002682163611980331	4.470272686633885E-4	4.470272686633885E-4	0.0	4.470272686633885E-4	0.03218596334376397	0.0013410818059901655	0.0	0.022798390701832812	0.0	0.0	0.0	0.0	0.11443898077782745	0.0	0.0	0.0031291908806437194	0.0	0.0	0.010281627179257935	0.01743406347787215	0.0	0.0031291908806437194	0.0	0.5020116227089853	0.0	0.0	0.002235136343316942	0.0	0.0	0.0	0.0	0.006258381761287439	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.470272686633885E-4	4.470272686633885E-4	0.0	0.0	0.047384890478319175	0.0	0.0	0.0	0.0	0.008940545373267769	0.016987036209208762	0.001788109074653554	0.006258381761287439	0.0	0.0	0.0	0.0	0.0	8.94054537326777E-4	0.0	0.0	0.0013410818059901655	0.08851139919535092	4.470272686633885E-4	4.470272686633885E-4	4.470272686633885E-4	0.0	0.0	4.470272686633885E-4	0.04023245417970496	0.012516763522574878	0.0	0.0	8.94054537326777E-4	0.0	0.0	0.03844434510505141	0.0	4.470272686633885E-4	0.002682163611980331	0.0	0.0	0.0	0.0	8.94054537326777E-4	0.0	0.009834599910594547	0.0	0.0
D5-602-805_2_1_53control	4.7460844803037496E-4	0.0	0.0	0.046511627906976744	0.02040816326530612	0.0	4.7460844803037496E-4	0.0	0.04034171808258187	0.0018984337921214998	0.007119126720455624	0.019933554817275746	0.0	0.025154247745609874	0.0023730422401518746	0.0	0.01566207878500237	0.0	0.0	0.0	0.0	4.7460844803037496E-4	0.009966777408637873	0.0018984337921214998	0.0	0.008068343616516375	0.0018984337921214998	0.2857142857142857	4.7460844803037496E-4	0.0014238253440911248	0.0028476506881822496	0.0	0.0	0.0	0.0	0.0033222591362126247	0.0	0.004746084480303749	0.026578073089700997	0.0	0.007119126720455624	9.492168960607499E-4	0.0	0.005220692928334125	4.7460844803037496E-4	9.492168960607499E-4	0.009966777408637873	0.004746084480303749	9.492168960607499E-4	0.0	0.0	0.0	0.014238253440911248	0.006644518272425249	0.04129093497864262	0.0028476506881822496	0.009492168960607499	0.0023730422401518746	0.0	0.0	4.7460844803037496E-4	0.007593735168485999	0.026103464641670623	0.0	0.068343616516374	0.06929283341243474	0.02420503084954912	0.025154247745609874	0.009966777408637873	0.0028476506881822496	0.0	0.018035121025154248	0.06786900806834362	0.008068343616516375	0.0	0.0	0.0	0.0	0.0	9.492168960607499E-4	0.0	0.0	9.492168960607499E-4	0.013289036544850499	0.0014238253440911248	0.0	0.009017560512577124	0.0	0.0	0.009017560512577124	0.0	0.0023730422401518746
D5-602-100_2_1_180control	0.0	0.0	0.0	0.0611541774332472	0.050387596899224806	0.0	0.004306632213608958	0.0	0.018518518518518517	0.0034453057708871662	8.613264427217916E-4	0.12058570198105081	0.0	0.015934539190353144	0.0	0.0	0.01636520241171404	0.0	0.0	0.0	0.0	0.002583979328165375	0.020241171403962102	0.0	0.0	0.03660637381567614	0.0	0.05426356589147287	0.0017226528854435831	0.0	4.306632213608958E-4	0.002583979328165375	0.0	0.0	0.0	8.613264427217916E-4	0.0	0.0	0.0	0.0	0.00904392764857881	0.009474590869939707	0.0	0.0	0.0	4.306632213608958E-4	8.613264427217916E-4	0.04995693367786391	0.0	0.002583979328165375	0.0	0.0	0.013350559862187769	4.306632213608958E-4	0.0	8.613264427217916E-4	0.03962101636520241	0.0	0.0	0.0	4.306632213608958E-4	0.004306632213608958	0.0	0.0	0.0012919896640826874	0.21791559000861327	0.0	0.0	0.0	0.0	0.0	0.06201550387596899	0.07751937984496124	0.004737295434969853	0.0	0.0034453057708871662	0.0	0.0	0.0	4.306632213608958E-4	0.0	0.0	4.306632213608958E-4	0.0822566752799311	0.0	8.613264427217916E-4	0.0	4.306632213608958E-4	0.0	0.006029285099052541	0.0	4.306632213608958E-4
D5-624-431_2_1_387control	0.0	0.0	0.0	0.051065939514129896	0.0	0.0	0.0	0.0	0.06941001487357462	0.0066931085770946955	0.0	4.957858205255329E-4	0.0	9.915716410510659E-4	0.0	0.0	0.022062469013386217	0.0	0.0	0.001487357461576599	7.436787307882995E-4	2.4789291026276647E-4	0.01908775409023302	2.4789291026276647E-4	0.0	0.010163609320773426	0.0	0.41249380267724345	0.0	0.0	0.005205751115518097	0.0	0.0	0.0	0.0	0.008180466038671294	4.957858205255329E-4	0.0	0.0	0.0	0.0	4.957858205255329E-4	0.0	0.0032226078334159644	0.006197322756569162	0.0	2.4789291026276647E-4	0.07858205255329698	0.0	0.0	0.0	2.4789291026276647E-4	0.004462072384729797	0.006941001487357461	0.002974714923153198	0.006445215666831929	0.0	0.0	0.0	0.0	0.0	0.004462072384729797	4.957858205255329E-4	4.957858205255329E-4	2.4789291026276647E-4	0.013386217154189391	0.0	0.001487357461576599	0.0	0.0012394645513138325	0.0	0.0	0.0	0.020079325731284084	0.0	0.0	0.0	0.0	0.0	0.005949429846306396	0.0	0.002974714923153198	0.0012394645513138325	0.0019831432821021317	0.013138324243926624	7.436787307882995E-4	7.436787307882995E-4	0.002974714923153198	0.0	0.008924144769459593	0.19657907783837383	0.0039662865642042635
