sampleID	line	tissue	ratID	cage	condition	numSequences	shannonDiversity	rarifiedRichness50	unrarifiedRichness	Actinobacteria	Alphaproteobacteria	Bacilli	Bacteroidia	Betaproteobacteria	Chloroplast	Clostridia	Cytophagia	Deferribacteres	Deltaproteobacteria	Epsilonproteobacteria	Erysipelotrichia	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Methanobacteria	Mollicutes	Negativicutes	Opitutae	Sphingobacteriia	Spirochaetia	Thermoplasmata	Verrucomicrobiae
sample0001	Low	Cecal Content	LSMK5	A	Exp	27789	1.04698032010337	11.72	12	2.294219423574234	0.9167230787153768	4.039612899584524	3.4561086841136803	2.0946001720536946	0.0	4.275473556057088	0.0	0.0	1.281891675187756	2.430460813476038	2.3492584157278276	0.0	0.0	1.7039497406019846	0.0	0.5338192407291391	1.6826706197985226	0.0	0.0	0.0	0.0	0.0
sample0002	Low	Cecal Content	LSMJ7	B	Exp	25063	1.1388183396448388	12.0	12	2.2757685404553203	1.824089949921784	3.6249184157190357	3.48139246198691	1.9108496648531288	0.0	4.340126078633197	0.0	0.0	1.3244997103932363	2.6252929089524106	3.548894979543123	0.0	0.0	1.9582157277902996	0.0	1.2655053087438728	1.7479464471705042	0.0	0.0	0.0	0.0	0.0
sample0003	High	Cecal Content	HSMJ7	D	Exp	24080	0.9604327385399528	13.38	14	1.8233791284527567	1.4815017172000575	3.764190595166382	3.479307243892202	1.6320828942495385	0.0	4.370812038730249	0.0	0.9018489613904621	1.6028427931975961	2.6562139522129273	2.615585168468469	0.0	0.0	2.247543020318375	0.0	1.5714909883428254	1.5376985592031591	0.0	0.0	0.0	0.0	0.379384285470512
sample0004	Low	Cecal Content	LSMK6	A	control	33128	1.235792126260812	12.78	14	2.3071700552075165	1.7984635505784337	3.8883527799213304	3.87422622754335	2.429393448269826	0.0	4.226513812143271	0.0	0.48124477843413427	1.3483147844997105	2.744940073512438	2.5551566495356983	0.0	0.0	1.2362590521305936	0.0	0.0	1.7220561954309765	0.0	0.0	0.3041263031272804	0.6066962134925551	0.0
sample0005	Low	Cecal Content	LSMJ8	B	control	27921	1.1354467029207171	11.98	12	2.1289968859470743	1.5551017549759847	3.7067579535254467	3.6144395808437992	2.075327832087898	0.0	4.323096382082186	0.0	0.0	1.306543088985817	2.0191094032496535	3.455518673230433	0.0	0.0	1.5551017549759847	0.0	0.846172860378165	1.7320127044553946	0.0	0.0	0.0	0.0	0.0
sample0006	High	Cecal Content	HSMJ8	D	control	21655	0.9897340514907613	12.0	12	1.9439651243252318	1.4840476993798333	3.785271486971062	3.546382687613543	1.7304414531042216	0.0	4.3565755150716905	0.0	0.0	1.5056111375697536	2.230794396665532	2.847523331681302	0.0	0.0	2.0919632675357382	0.0	1.3851681504663251	1.6164145589405121	0.0	0.0	0.0	0.0	0.0
sample0007	Low	Cecal Content	LSMK7	A	Exp	31294	1.1493079852085102	12.66	13	2.1610175782068723	1.3517012849918897	4.059310606122393	3.6400648727954037	2.403690417873501	0.0	4.222353930056746	0.0	0.8040555993325236	1.6212038742510815	2.455674311305437	2.3925029525072854	0.0	0.0	1.7378896984158776	0.6254423391547776	0.0	1.5982995707676884	0.0	0.0	0.0	0.0	0.0
sample0008	Low	Cecal Content	LSML5	C	Exp	54460	1.2873875879135233	11.94	12	2.1475000957606842	1.1988798427601024	3.8627080611607147	3.4595698850864007	2.6307837646548675	0.0	4.240208008208802	0.0	0.0	1.2315234907432782	1.8788521876397417	3.7252722970207337	0.0	0.0	1.3657155402107517	0.0	0.9244887857909605	1.5656855943065748	0.0	0.0	0.0	0.0	0.0
sample0009	Low	Cecal Content	LSMK8	A	control	16610	1.152938391410792	12.64	13	2.206332351945706	1.6950615781951017	3.978970557963449	3.7340491209280717	2.2859737984122175	0.0	4.246338132228168	0.0	1.36647937270189	1.2834599138627687	2.383343524703647	2.386962837799735	0.0	0.0	1.1185296254400645	0.0	0.4804384136669635	1.934327113062414	0.0	0.0	0.0	0.0	0.0
sample0010	Low	Cecal Content	LSML6	C	control	24230	0.8174425471710247	11.4	12	2.459493085312229	0.8994910305543709	3.6337552365568877	3.130000829951495	1.6826058088810867	0.0	4.414010170355848	0.0	0.3778152542652899	1.172251308444351	2.0596287305149614	3.1667940623852884	0.0	0.0	1.0296909299075023	0.0	0.0	1.8115254351500463	0.0	0.0	0.0	0.0	0.0
sample0011	Low	Cecal Content	LSMJ5	B	Exp	26327	1.1234788669829778	11.82	12	2.029123005659977	1.4236830923181083	3.9004374936998505	3.749889106591117	2.202121680580867	0.0	4.278093910751405	0.0	0.0	1.463584859402374	2.292874262869765	2.6679997183576436	0.0	0.0	1.4440920726692341	0.0	0.5505547689827586	1.737240785282468	0.0	0.0	0.0	0.0	0.0
sample0012	Low	Cecal Content	LSML7	C	Exp	40323	1.1073919577434659	12.34	13	2.215720022775002	1.2261647842841397	3.651288495429058	3.3292565734397357	2.088720933904221	0.0	4.335271648969909	0.0	0.0	1.3046287250808648	2.1668190203626194	3.67677935528966	0.0	0.0	1.8760196906869964	0.0	1.2471492598601668	1.630083171643589	0.0	0.0	0.42596518457827715	0.0	0.0
sample0013	Low	Cecal Content	LSMJ6	B	control	21774	1.2033635708365347	11.92	12	2.0614458478325823	1.4351230907877595	4.094204584323995	3.8134980256450355	2.3692643703357574	0.0	4.137116799571242	0.0	0.0	1.3234965804514525	2.420528887300665	2.351732208228161	0.0	0.0	1.5033056016354087	0.0	0.7504820447799069	1.6748297767296607	0.0	0.0	0.0	0.0	0.0
sample0014	High	Cecal Content	HSMJ6	D	control	27283	1.09270996767358	12.38	13	2.0189308096131238	1.5347051405520153	3.7545336794314217	3.6598256855807025	2.0852832350889967	0.0	4.3327620204217006	0.0	0.0	1.5347051405520153	2.1936339515163255	3.044625544187753	0.0	0.0	2.3428703157788933	0.0	1.448636091933528	1.579192893792077	0.0	0.0	0.34861862112238456	0.0	0.0
sample0015	Low	Cecal Content	LSMA1	G	Exp	39295	1.002084750049219	13.66	15	2.8269919984028156	0.5521045075704953	4.253692685447203	2.9647156310881235	1.4394718825289332	0.0	4.123679951561645	0.0	1.1913697399311247	1.1913697399311247	2.5512987879794724	2.3388572507562064	0.0	0.0	1.896615485863571	0.7222731208606912	1.4257573737024272	1.6576905621308498	0.0	0.0	0.0	0.0	0.26837272492904235
