sampleID	Acidaminococcaceae	Actinomycetaceae	Aerococcaceae	Aeromonadaceae	Anaeroplasmataceae	Bacillaceae 1	Bacillaceae 2	Bacillales_Incertae Sedis XI	Bacteroidaceae	Bacteroidales_incertae_sedis	Bdellovibrionaceae	Bifidobacteriaceae	Bradyrhizobiaceae	Brevibacteriaceae	Brucellaceae	Burkholderiales_incertae_sedis	Carnobacteriaceae	Caulobacteraceae	Chloroplast	Clostridiaceae 1	Clostridiaceae 2	Clostridiaceae 3	Clostridiaceae 4	Clostridiales_Incertae Sedis XI	Clostridiales_Incertae Sedis XII	Clostridiales_Incertae Sedis XIII	Comamonadaceae	Coriobacteriaceae	Corynebacteriaceae	Corynebacterineae_incertae_sedis	Cytophagaceae	Deferribacteraceae	Defluviitaleaceae	Demequinaceae	Dermabacteraceae	Desulfomicrobiaceae	Desulfovibrionaceae	Dietziaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Flavobacteriaceae	Fusobacteriaceae	Geodermatophilaceae	Gracilibacteraceae	Helicobacteraceae	Hyphomicrobiaceae	Lachnospiraceae	Lactobacillaceae	Leuconostocaceae	Listeriaceae	Marinilabiaceae	Methanobacteriaceae	Methylobacteriaceae	Microbacteriaceae	Micrococcaceae	Moraxellaceae	Mycobacteriaceae	Mycoplasmataceae	Nakamurellaceae	Neisseriaceae	Nocardiaceae	Nocardioidaceae	Nocardiopsaceae	Oxalobacteraceae	Paenibacillaceae 1	Pasteurellaceae	Peptococcaceae 1	Peptostreptococcaceae	Planococcaceae	Porphyromonadaceae	Prevotellaceae	Pseudomonadaceae	Pseudonocardiaceae	Puniceicoccaceae	Rhizobiaceae	Rhodospirillaceae	Rikenellaceae	Ruminococcaceae	Sanguibacteraceae	Shewanellaceae	Sinobacteraceae	Solirubrobacteraceae	Sphingobacteriaceae	Sphingomonadaceae	Spirochaetaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Thermoactinomycetaceae 1	Thermoplasmatales_incertae_sedis	Veillonellaceae	Verrucomicrobiaceae	Xanthomonadaceae
sample0001	1.6674314125524816	0.0	0.0	0.0	0.34189088348133456	0.0	0.0	0.0	2.559412150468823	0.0	1.0244225236549487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3294839446423672	1.4732735734071114	0.0	0.34189088348133456	0.0	0.34189088348133456	1.2191914529641998	0.0	2.2680755058080364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34189088348133456	0.34189088348133456	0.0	0.34189088348133456	0.6619946148380974	2.3449904848877896	1.2191914529641998	0.0	0.0	0.0	0.6619946148380974	2.4261895951819583	0.0	4.060469564188139	4.022729675319368	0.0	0.0	0.0	0.0	0.0	0.0	1.0244225236549487	0.0	0.0	0.34189088348133456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6619946148380974	1.699747710246738	3.283906761659689	0.0	2.952592041237649	3.14521531098498	0.0	0.0	0.0	0.0	0.0	1.67847286640413	3.61081179297746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.335488774312803	2.07311746321034	0.0	0.0	0.34189088348133456	0.0	0.0
sample0002	1.7444890438909546	0.37348697470801084	0.0	0.0	0.809728423399996	0.0	0.0	0.0	2.432807484706568	0.0	0.7066648421719705	0.0	0.0	0.0	0.0	0.0	0.8929641367153223	0.0	0.0	3.13398583256728	1.5775425350661607	0.0	0.0	0.0	0.0	1.075729844379745	0.0	2.2475886633998514	0.37348697470801084	0.0	0.0	0.0	0.37348697470801084	0.0	0.0	0.0	0.809728423399996	0.0	0.0	0.809728423399996	3.5560962699857326	1.5278236350278127	0.0	0.0	0.0	0.0	2.6324792881889882	0.0	3.971728865327234	3.615223300105222	0.0	0.0	0.0	0.0	0.0	0.0	1.022918301640857	0.0	0.0	1.1228100032154003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5929263251173484	3.403051801292828	0.0	3.054520418583451	3.162999080978138	0.0	0.0	0.0	0.0	1.022918301640857	1.9179652476042652	3.848843593000156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37348697470801084	1.7336941669882644	1.8959648645661746	0.0	0.0	0.37348697470801084	0.0	0.0
sample0003	1.537373598336353	0.0	0.0	0.0	1.5711653008320325	0.0	0.0	0.0	2.386710362519293	0.0	1.1319147943067847	0.0	0.0	0.0	0.0	0.0	0.37918935977817325	0.0	0.0	1.9131399169487293	1.2131976852583122	0.0	0.0	0.0	0.0	0.9715614362237766	0.0	1.697251866714443	0.0	0.0	0.0	0.9015562610034825	0.0	0.0	0.0	0.37918935977817325	0.7145877890586373	0.0	0.37918935977817325	0.37918935977817325	2.615251312091022	1.3121992218159155	0.0	0.0	0.0	0.0	2.6558800233770903	0.0	4.181231809753386	3.7571286604795313	0.0	0.0	0.0	0.0	0.0	0.37918935977817325	1.2131976852583122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7145877890586373	3.19075955472993	0.0	3.088717834152387	3.148574506766017	0.0	0.0	0.0	0.0	1.2131976852583122	1.5545980259523808	3.727994833665398	0.0	0.0	0.0	0.0	0.0	0.5784923982732932	0.0	0.0	1.537373598336353	1.6317560373247353	0.0	0.0	0.0	0.37918935977817325	0.0
sample0004	1.6998896616160566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.72192236756849	0.0	1.0800415285189877	0.0	0.0	0.0	0.0	0.47774708365082874	0.0	0.0	0.0	1.2049997972102937	0.47774708365082874	0.0	0.0	0.0	0.0	0.47774708365082874	0.0	2.2704463099777232	0.0	0.0	0.0	0.47774708365082874	0.0	0.0	0.0	0.30149945188905525	0.0	0.0	0.30149945188905525	0.30149945188905525	2.5499390195497944	1.5194239386509831	0.0	0.0	0.0	0.778933395737382	2.7389240181660304	0.0	4.0018927104062705	3.8748979349735353	0.0	0.0	0.0	0.0	0.0	0.0	1.1769671672637236	0.47774708365082874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.177023415261149	2.9881566700515223	0.0	3.3860077956300203	3.60946420822559	0.0	0.0	0.0	0.0	1.0800415285189877	1.771774528877535	3.662845494118818	0.0	0.0	0.0	0.0	0.0	0.30149945188905525	0.30149945188905525	0.0	2.0423225688585522	2.4125544781773347	0.0	0.0	0.0	0.0	0.0
sample0005	1.7146926138242327	0.5341669604861649	0.0	0.0	0.8483599345560607	0.0	0.0	0.0	2.6826776526290232	0.0	0.8483599345560607	0.0	0.0	0.0	0.0	0.5341669604861649	0.5341669604861649	0.0	0.0	3.1094466133894674	1.7534721033995173	0.0	0.0	0.0	0.0	1.0287516647566057	0.0	2.095087642987648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3445012645954004	0.5341669604861649	0.0	0.0	0.3445012645954004	3.458067253593269	1.6491397616621961	0.0	0.0	0.0	0.3445012645954004	2.0216345477127957	0.0	3.9631017829089137	3.6922400143601175	0.0	0.0	0.0	0.0	0.0	0.3445012645954004	0.7665778158713792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.270014353604004	3.4635259697361094	0.0	2.9147429270231826	3.4237905034511162	0.0	0.0	0.0	0.0	1.1174551499694807	1.6122359280671892	3.779500342768045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5992032751326801	2.0553079304153634	0.0	0.0	0.3445012645954004	0.0	0.0
sample0006	1.6203158397477357	0.6161705492551554	0.0	0.0	1.1788169556489048	0.0	0.0	0.0	2.3580816080356777	0.0	1.0778161738127288	0.0	0.0	0.0	0.0	0.40926489384195314	1.0168784765062142	0.0	0.0	1.5684260909658176	1.666662211647554	0.0	0.0	0.0	0.0	1.260704129677277	0.0	1.8445153388655444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8611874810987853	0.0	0.0	0.6161705492551554	2.851515215769307	1.1312461010135613	0.0	0.0	0.0	0.0	2.234768544649773	0.0	4.154020268602461	3.7738612122268957	0.0	0.0	0.0	0.0	0.0	0.0	1.1788169556489048	0.0	0.0	1.0168784765062142	0.0	0.0	0.0	0.0	0.0	0.0	0.40926489384195314	0.0	1.1312461010135613	3.107897454156927	0.0	3.03216547811559	3.3247008318843623	0.0	0.0	0.0	0.0	1.1312461010135613	1.487914675601581	3.7565788703277763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8445153388655444	1.72164252628253	0.0	0.0	0.0	0.0	0.0
sample0007	1.5966871048334592	0.0	0.0	0.0	0.0	0.0	0.0	0.31590149730670114	2.4637154698231045	0.0	1.1060681275139834	0.31590149730670114	0.0	0.0	0.0	0.31590149730670114	0.0	0.0	0.0	1.5725096589492995	1.0264125949501572	0.0	0.0	0.0	0.0	1.1060681275139834	0.0	2.1362394946156846	0.0	0.0	0.0	0.8026615026245353	0.496838871468856	0.0	0.0	0.8026615026245353	1.1410125138341431	0.0	0.31590149730670114	0.0	2.3908554060204	1.3288638991016706	0.0	0.0	0.0	0.0	2.4507473404573585	0.0	4.052994060532764	4.048987105230508	0.0	0.0	0.0	0.6241805369012489	0.0	0.0	0.8702886573404571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.496838871468856	1.9427193240582794	2.8767830520867834	0.0	3.1058673075751466	3.412515522383368	0.0	0.0	0.0	0.0	0.0	1.5966871048334592	3.5136835116658887	0.0	0.0	0.0	0.0	0.0	0.31590149730670114	0.0	0.0	1.9831786681255275	2.3851518013380035	0.0	0.0	0.0	0.0	0.0
sample0008	1.5431559382780766	0.208668852255169	0.0	0.0	0.9243909858250478	0.0	0.0	0.0	2.2304898034963005	0.0	0.4549271678824039	0.208668852255169	0.0	0.0	0.0	0.208668852255169	1.3539092233211854	0.0	0.0	3.03063194447054	1.6571798526002648	0.0	0.0	0.0	0.0	0.8554263076164607	0.0	2.113679241919364	0.208668852255169	0.0	0.0	0.0	0.4549271678824039	0.0	0.0	0.0	0.8163487369325052	0.0	0.208668852255169	0.0	3.725161307289667	1.5582315868615815	0.0	0.0	0.0	0.5400023058496513	1.8716007242478294	0.0	3.890051920303239	3.8384877957914862	0.208668852255169	0.0	0.208668852255169	0.0	0.0	0.0	0.9551587466974337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.208668852255169	0.0	0.0	0.3490235720880776	2.0634590553631678	3.4048236516067045	0.0	3.1620983061640517	2.989828558652908	0.0	0.0	0.0	0.0	0.5400023058496513	1.37700244760224	3.669194032723861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2304898034963005	2.6262614709148275	0.0	0.0	0.208668852255169	0.0	0.0
sample0009	1.9237362578523787	0.7027458221153347	0.0	0.0	0.48027004482088387	0.0	0.0	0.0	2.8061109672412226	0.0	0.7027458221153347	0.0	0.48027004482088387	0.0	0.0	1.1182971624505134	0.48027004482088387	0.0	0.0	1.6948150373413746	1.045680853078087	0.0	0.0	0.0	0.0	0.48027004482088387	0.48027004482088387	2.1539005200151276	0.0	0.0	0.0	1.3662385764778386	0.48027004482088387	0.0	0.0	0.48027004482088387	0.0	0.0	0.8491423070583157	0.7027458221153347	2.386712250149666	1.5230864858058557	0.0	0.0	0.0	0.0	2.3830929456945027	0.0	4.029979114871334	3.969586365349506	0.0	0.0	0.0	0.0	0.0	0.0	1.180493200525203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48027004482088387	2.1219501641495646	3.0907145240021903	0.0	3.120986664966132	3.5020575542083012	0.0	0.0	0.0	0.0	0.8491423070583157	2.008989609042959	3.6112023551765375	0.0	0.0	0.0	0.0	0.0	0.48027004482088387	0.0	0.0	2.216873500691593	2.2427336624073644	0.0	0.0	0.48027004482088387	0.0	0.0
sample0010	1.778176169848811	0.7172153062990523	0.0	0.0	0.0	0.0	0.0	0.0	2.283434137138289	0.0	1.0347851088932067	0.7172153062990523	0.0	0.0	0.0	0.0	0.5808893819909478	0.0	0.0	2.77264383987612	1.6623328089623257	0.0	0.0	0.0	0.0	1.1774914456389456	0.0	2.428005680322041	0.38108688719982237	0.0	0.0	0.38108688719982237	0.5808893819909478	0.0	0.0	0.38108688719982237	0.0	0.0	0.38108688719982237	0.0	3.172405826030321	1.7980504391697663	0.0	0.0	0.0	0.0	2.0599129621331476	0.0	4.074212896852715	3.6156372541489366	0.0	0.0	0.0	0.0	0.0	0.0	1.0347851088932067	0.0	0.5808893819909478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.627220391818528	3.536388348632191	0.0	2.7047884402637603	2.778779318311913	0.0	0.0	0.0	0.0	0.0	1.2162525585221426	3.8966460261233706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2572465040690735	1.6623328089623257	0.0	0.0	0.38108688719982237	0.0	0.0
