sampleID	line	tissue	ratID	cage	condition	numSequences	shannonDiversity	rarifiedRichness50	unrarifiedRichness	Actinobacteria	Bacteroidetes	Candidatus Saccharibacteria	Cyanobacteria/Chloroplast	Deferribacteres	Euryarchaeota	Firmicutes	Fusobacteria	Proteobacteria	Spirochaetes	Tenericutes	Verrucomicrobia
sample0001	Low	Cecal Content	LSMK5	A	Exp	27955	0.41011205763837694	4.54	5	2.294863840104053	3.4600506883037747	0.0	0.0	0.0	0.0	4.480138583232613	0.0	2.751364209338512	0.0	0.5342775671575314	0.0
sample0002	Low	Cecal Content	LSMJ7	B	Exp	25328	0.44438418286533243	5.7	6	2.274442056621996	3.4863556531544226	0.5650430042382417	0.0	0.0	0.0	4.474999801964503	0.0	2.8637866362082343	0.0	1.2642442136633392	0.0
sample0003	High	Cecal Content	HSMJ7	D	Exp	24261	0.4423467289149119	6.42	7	1.8233614641658538	3.4890280857437146	0.0	0.0	0.9018332759241634	0.0	4.474652813712833	0.0	2.920459654906317	0.0	1.571473535762955	0.37937383852122974
sample0004	Low	Cecal Content	LSMK6	A	control	33333	0.6907528090522617	5.86	7	2.307722417226758	3.876191301424593	0.0	0.0	0.4816166699372851	0.6071140756969577	4.40033581946788	0.0	2.995723563283187	0.3044059119575198	0.0	0.0
sample0005	Low	Cecal Content	LSMJ8	B	control	28119	0.45293051825193664	5.0	5	2.1291610358825923	3.6177681954633565	0.0	0.0	0.0	0.0	4.4658817485491475	0.0	2.525940779678558	0.0	0.8463146756283872	0.0
sample0006	High	Cecal Content	HSMJ8	D	control	21805	0.4285318574076792	5.0	5	1.9441988144002893	3.5536479727496966	0.0	0.0	0.0	0.0	4.47313676878398	0.0	2.645346296268966	0.0	1.3853947943468252	0.0
sample0007	Low	Cecal Content	LSMK7	A	Exp	31487	0.5137360140196074	5.56	6	2.1615777630949355	3.6444571666245036	0.0	0.0	0.8045311544909884	0.6258728538018071	4.45626776415241	0.0	2.8450032674182357	0.0	0.0	0.0
sample0008	Low	Cecal Content	LSML5	C	Exp	54940	0.4049513337318638	4.98	5	2.146927468559931	3.4654553279958993	0.0	0.0	0.0	0.0	4.480391481355477	0.0	2.750002896219559	0.0	0.9239807154784604	0.0
sample0009	Low	Cecal Content	LSMK8	A	control	16706	0.5545936547933208	5.72	6	2.2070592444983252	3.736882378796946	0.0	0.0	1.3671793794698857	0.0	4.4422258972785515	0.0	2.7258462436756417	0.0	0.48092802981427	0.0
sample0010	Low	Cecal Content	LSML6	C	control	24361	0.2559022237127728	4.52	5	2.4603825739324017	3.1370988410548333	0.0	0.0	0.37833409403312834	0.0	4.504948510379262	0.0	2.3239467901679673	0.0	0.0	0.0
