queryId	targetId	percentIdentity	alignmentLength	mismatches	gapOpenings	queryStart	queryEnd	targetStart	targetEnd	eValue	bitScore
EOSBI6J01ACXJN	gi|121582553|ref|NC_008766.1|	100.0	19	0	0	152	170	42983	43001	4.0E-5	38.2
EOSBI6J01BE2FB	gi|121582553|ref|NC_008766.1|	85.11	47	7	0	133	179	21553	21599	5.0E-5	38.2
EOSBI6J02G58ED	gi|121582553|ref|NC_008766.1|	100.0	21	0	0	120	140	34502	34482	3.0E-6	42.1
EOSBI6J02IIQ0B	gi|121582553|ref|NC_008766.1|	100.0	19	0	0	77	95	19275	19293	5.0E-5	38.2
EOSBI6J02GUTC9	gi|121582553|ref|NC_008766.1|	100.0	21	0	0	210	230	1505	1485	3.0E-6	42.1
EOSBI6J01EEQX3	gi|121582553|ref|NC_008766.1|	92.31	26	2	0	7	32	15982	15957	9.0E-5	36.2
EOSBI6J01BJLDD	gi|121582553|ref|NC_008766.1|	95.83	24	1	0	70	93	51719	51742	1.0E-5	40.1
EOSBI6J01CDQ50	gi|121582553|ref|NC_008766.1|	89.36	47	5	0	2	48	40623	40577	8.0E-10	54.0
EOSBI6J02G3FIZ	gi|121582553|ref|NC_008766.1|	91.07	112	10	0	106	217	33137	33026	1.0E-36	143.0
EOSBI6J02HM649	gi|121582553|ref|NC_008766.1|	96.15	26	1	0	136	161	28154	28129	8.0E-7	44.1
EOSBI6J01B1FIC	gi|121582553|ref|NC_008766.1|	100.0	20	0	0	114	133	57355	57374	1.0E-5	40.1
EOSBI6J01DFOMK	gi|121582553|ref|NC_008766.1|	82.83	233	40	0	1	233	33251	33483	3.0E-37	145.0
EOSBI6J02F0GTE	gi|121582553|ref|NC_008766.1|	96.0	25	1	0	102	126	51677	51653	3.0E-6	42.1
EOSBI6J02HN6GU	gi|121582553|ref|NC_008766.1|	100.0	19	0	0	164	182	3838	3856	5.0E-5	38.2
EOSBI6J02INXHH	gi|121582553|ref|NC_008766.1|	100.0	21	0	0	37	57	11485	11465	3.0E-6	42.1
EOSBI6J01BT3PX	gi|121582553|ref|NC_008766.1|	89.58	48	5	0	1	48	40673	40720	2.0E-10	56.0
EOSBI6J01BAZMP	gi|121582553|ref|NC_008766.1|	100.0	140	0	0	1	140	38779	38918	3.0E-77	278.0
EOSBI6J01C7MJK	gi|121582553|ref|NC_008766.1|	100.0	19	0	0	99	117	56619	56601	5.0E-5	38.2
EOSBI6J02INEFV	gi|121582553|ref|NC_008766.1|	92.59	27	2	0	245	271	2561	2587	5.0E-5	38.2
EOSBI6J02G1GFR	gi|121582553|ref|NC_008766.1|	99.56	229	1	0	1	229	37691	37919	1.0E-128	448.0
EOSBI6J01D8CIW	gi|121582553|ref|NC_008766.1|	100.0	235	0	0	1	235	27820	27586	6.0E-134	466.0
EOSBI6J01AL9K4	gi|121582553|ref|NC_008766.1|	100.0	19	0	0	127	145	40401	40383	5.0E-5	38.2
EOSBI6J01AZ4A6	gi|121582553|ref|NC_008766.1|	100.0	24	0	0	110	133	12104	12081	5.0E-8	48.1
EOSBI6J01CVAFD	gi|121582553|ref|NC_008766.1|	100.0	19	0	0	212	230	48512	48530	5.0E-5	38.2
EOSBI6J02FZ4BL	gi|121582553|ref|NC_008766.1|	100.0	21	0	0	18	38	58957	58977	3.0E-6	42.1
EOSBI6J02G6HAH	gi|121582553|ref|NC_008766.1|	100.0	227	0	0	1	227	27334	27108	3.0E-129	450.0
